Year,SP500_Indx
1977,96.73999786376953
1978,93.81999969482422
1979,96.7300033569336
1980,105.76000213623047
1981,136.33999633789062
1982,122.73999786376953
1983,138.33999633789062
1984,164.0399932861328
1985,165.3699951171875
1986,209.58999633789062
1987,246.4499969482422
1988,255.94000244140625
1989,275.30999755859375
1990,359.69000244140625
1991,326.45001220703125
1992,417.260009765625
1993,435.3800048828125
1994,465.44000244140625
1995,459.1099853515625
1996,620.72998046875
1997,737.010009765625
1998,975.0399780273438
1999,1228.0999755859375
2000,1455.219970703125
2001,1283.27001953125
2002,1154.6700439453125
2003,909.030029296875
2004,1108.47998046875
2005,1202.0799560546875
2006,1268.800048828125
2007,1416.5999755859375
2008,1447.1600341796875
2009,931.7999877929688
2010,1132.989990234375
2011,1271.8699951171875
2012,1277.06005859375
2013,1462.4200439453125
2014,1831.97998046875
2015,2058.199951171875
2016,2012.6600341796875
2017,2257.830078125
2018,2695.81005859375
2019,2510.030029296875
2020,3257.85009765625
2021,3700.64990234375
2022,4796.56005859375
2023,3824.139892578125
2024,4742.830078125
