Quarter,Bond_Quarter
1977-4,7.699999809265137
1978-1,8.079999923706055
1978-2,8.319999694824219
1978-3,8.600000381469727
1978-4,8.630000114440918
1979-1,8.989999771118164
1979-2,9.020000457763672
1979-3,8.800000190734863
1979-4,9.319999694824219
1980-1,10.229999542236328
1980-2,12.350000381469727
1980-3,10.119999885559082
1980-4,11.6899995803833
1981-1,12.010000228881836
1981-2,12.649999618530273
1981-3,13.470000267028809
1981-4,15.140000343322754
1982-1,13.869999885559082
1982-2,13.600000381469727
1982-3,13.899999618530273
1982-4,11.649999618530273
1983-1,10.390000343322754
1983-2,10.670000076293945
1983-3,11.0
1983-4,11.479999542236328
1984-1,11.930000305175781
1984-2,12.550000190734863
1984-3,13.640000343322754
1984-4,12.350000381469727
1985-1,11.6899995803833
1985-2,11.649999618530273
1985-3,10.4399995803833
1985-4,10.550000190734863
1986-1,9.279999732971191
1986-2,7.46999979019165
1986-3,7.210000038146973
1986-4,7.570000171661377
1987-1,7.440000057220459
1987-2,7.889999866485596
1987-3,8.489999771118164
1987-4,9.800000190734863
1988-1,8.949999809265137
1988-2,8.920000076293945
1988-3,8.84000015258789
1988-4,8.960000038146973
1989-1,9.09000015258789
1989-2,9.069999694824219
1989-3,8.069999694824219
1989-4,8.220000267028809
1990-1,8.0
1990-2,8.630000114440918
1990-3,8.40999984741211
1990-4,8.84000015258789
1991-1,8.140000343322754
1991-2,8.25
1991-3,8.4399995803833
1991-4,7.809999942779541
1992-1,7.460000038146973
1992-2,7.900000095367432
1992-3,7.760000228881836
1992-4,7.300000190734863
1993-1,7.329999923706055
1993-2,6.96999979019165
1993-3,6.690000057220459
1993-4,5.980000019073486
1994-1,6.401000022888184
1994-2,7.418000221252441
1994-3,7.616000175476074
1994-4,7.853000164031982
1995-1,7.909999847412109
1995-2,7.400000095367432
1995-3,6.63100004196167
1995-4,6.479000091552734
1996-1,5.966000080108643
1996-2,6.664000034332275
1996-3,6.901000022888184
1996-4,6.868000030517578
1997-1,6.745999813079834
1997-2,7.081999778747559
1997-3,6.736999988555908
1997-4,6.317999839782715
1998-1,5.8480000495910645
1998-2,5.8979997634887695
1998-3,5.627999782562256
1998-4,4.890999794006348
1999-1,5.146999835968018
1999-2,5.672999858856201
1999-3,6.013000011444092
1999-4,6.144999980926514
2000-1,6.5980000495910645
2000-2,5.824999809265137
2000-3,5.861999988555908
2000-4,5.925000190734863
2001-1,5.349999904632568
2001-2,5.4770002365112305
2001-3,5.688000202178955
2001-4,5.372000217437744
2002-1,5.564000129699707
2002-2,5.818999767303467
2002-3,5.504000186920166
2002-4,4.739999771118164
2003-1,4.956999778747559
2003-2,4.8429999351501465
2003-3,4.5960001945495605
2003-4,4.886000156402588
2004-1,5.176000118255615
2004-2,4.817999839782715
2004-3,5.290999889373779
2004-4,4.948999881744385
2005-1,4.816999912261963
2005-2,4.729000091552734
2005-3,4.297999858856201
2005-4,4.620999813079834
2006-1,4.554999828338623
2006-2,4.9029998779296875
2006-3,5.201000213623047
2006-4,4.761000156402588
2007-1,4.767000198364258
2007-2,4.835999965667725
2007-3,5.099999904632568
2007-4,4.797999858856201
2008-1,4.3520002365112305
2008-2,4.381999969482422
2008-3,4.544000148773193
2008-4,4.248000144958496
2009-1,2.815000057220459
2009-2,3.49399995803833
2009-3,4.3470001220703125
2009-4,3.9590001106262207
2010-1,4.659999847412109
2010-2,4.728000164031982
2010-3,3.868000030517578
2010-4,3.7209999561309814
2011-1,4.3979997634887695
2011-2,4.488999843597412
2011-3,4.4019999504089355
2011-4,2.760999917984009
2012-1,2.99399995803833
2012-2,3.3380000591278076
2012-3,2.683000087738037
2012-4,2.822999954223633
2013-1,3.0460000038146973
2013-2,3.0850000381469727
2013-3,3.489000082015991
2013-4,3.7209999561309814
2014-1,3.9189999103546143
2014-2,3.6040000915527344
2014-3,3.3949999809265137
2014-4,3.11299991607666
2015-1,2.697000026702881
2015-2,2.4749999046325684
2015-3,3.194999933242798
2015-4,2.8519999980926514
2016-1,2.990000009536743
2016-2,2.619999885559082
2016-3,2.240999937057495
2016-4,2.3350000381469727
2017-1,3.046999931335449
2017-2,2.984999895095825
2017-3,2.861999988555908
2017-4,2.865000009536743
2018-1,2.811000108718872
2018-2,2.9700000286102295
2018-3,2.990000009536743
2018-4,3.2320001125335693
2019-1,2.9820001125335693
2019-2,2.890000104904175
2019-3,2.559000015258789
2019-4,2.1050000190734863
2020-1,2.3410000801086426
2020-2,1.2890000343322754
2020-3,1.4329999685287476
2020-4,1.4539999961853027
2021-1,1.656000018119812
2021-2,2.3399999141693115
2021-3,2.0859999656677246
2021-4,2.058000087738037
2022-1,2.0160000324249268
2022-2,2.4240000247955322
2022-3,3.115999937057495
2022-4,3.7060000896453857
2023-1,3.8929998874664307
2023-2,3.6440000534057617
2023-3,3.869999885559082
2023-4,4.795000076293945
2024-1,4.085000038146973
